criminal_id,name,age,home_state,home_district,district,gang_id
C0124,Yash Verma,35,Kerala,Bengaluru Rural,Bengaluru Rural,None
C0125,Nagaraj Naik,24,Karnataka,Ballari,Ballari,None
C0126,Jagadish Gowda,45,Karnataka,Hassan,Hassan,None
C0127,Mohan Poojary,34,Karnataka,Vijayapura,Vijayapura,None
C0128,Varun Devadiga,39,Karnataka,Vijayapura,Vijayapura,None
C0129,Nandakumar Poojary,49,Andhra Pradesh,Ballari,Ballari,None
C0130,Rakesh Patil,54,Karnataka,Kalaburagi,Kalaburagi,None
C0131,Naveen Poojary,51,Karnataka,Bidar,Bidar,None
C0132,Mohan Shetty,24,Telangana,Hassan,Hassan,Gang_28
C0133,Pranav Patil,41,Telangana,Mysuru,Mysuru,None
C0134,Kiran Pai,57,Karnataka,Koppal,Koppal,Gang_22
C0135,Ashok Bangera,59,Karnataka,Koppal,Koppal,None
C0136,Yash Shet,26,Karnataka,Tumakuru,Tumakuru,None
C0137,Sachin Kamath,58,Karnataka,Bengaluru Rural,Bengaluru Rural,Gang_33
C0138,Nandakumar Shettigar,44,Karnataka,Kodagu,Kodagu,None
C0139,Yash Joshi,22,Karnataka,Tumakuru,Tumakuru,Gang_30
C0140,Deepak Nayak,22,Karnataka,Ballari,Ballari,None
C0141,Lohith Gowda,54,Karnataka,Raichur,Raichur,None
C0142,Anand Shet,54,Karnataka,Belagavi,Belagavi,None
C0143,Nagaraj Gowda,54,Tamil Nadu,Dharwad,Dharwad,None
C0144,Chirag Mendonca,27,Karnataka,Tumakuru,Tumakuru,Gang_22
C0145,Lohith Bangera,55,Karnataka,Vijayapura,Vijayapura,None
C0146,Madan Acharya,20,Karnataka,Bengaluru Urban,Bengaluru Urban,None
C0147,Lokesh Lobo,60,Andhra Pradesh,Hassan,Hassan,None
C0148,Chandan Pujari,28,Karnataka,Bengaluru Urban,Bengaluru Urban,Gang_34
C0149,Mukesh Sharma,27,Karnataka,Kalaburagi,Kalaburagi,None
C0150,Mahesh Noronha,25,Karnataka,Shivamogga,Shivamogga,None
C0151,Lokesh Kudva,47,Karnataka,Tumakuru,Tumakuru,None
C0152,Ashok Adiga,27,Karnataka,Belagavi,Belagavi,None
C0153,Ramesh Udupa,36,Karnataka,Ballari,Ballari,None
C0154,Sandeep Devadiga,34,Telangana,Ballari,Ballari,None
C0155,Pranav Fernandes,57,Karnataka,Ballari,Ballari,Gang_36
C0156,Rakesh Alva,50,Karnataka,Kalaburagi,Kalaburagi,Gang_47
C0157,Chandan Bhat,59,Karnataka,Vijayapura,Vijayapura,None
C0158,Tejas Udupa,46,Karnataka,Bengaluru Urban,Bengaluru Urban,None
C0159,Pradeep Shekar,24,Karnataka,Ballari,Ballari,None
C0160,Shivakumar Moily,54,Karnataka,Koppal,Koppal,None
C0161,Bharath Shekar,41,Karnataka,Vijayapura,Vijayapura,None
C0162,Kishore Kudva,45,Telangana,Ballari,Ballari,None
C0163,Darshan Naik,34,Karnataka,Belagavi,Belagavi,None
C0164,Sachin Kumar,59,Karnataka,Tumakuru,Tumakuru,None
C0165,Karthik Hegde,27,Karnataka,Bengaluru Rural,Bengaluru Rural,None
C0166,Sharath Sharma,27,Karnataka,Tumakuru,Tumakuru,Gang_50
C0167,Santosh Nayak,52,Karnataka,Belagavi,Belagavi,None
C0168,Sunil Pai,39,Karnataka,Kodagu,Kodagu,None
C0169,Rohit Bangera,45,Karnataka,Raichur,Raichur,None
C0170,Manjunath Bairy,46,Karnataka,Kalaburagi,Kalaburagi,None
C0171,Girish Salian,37,Karnataka,Bengaluru Urban,Bengaluru Urban,None
C0172,Karthik Lobo,42,Karnataka,Koppal,Koppal,None
C0173,Manjunath Fernandes,56,Karnataka,Vijayapura,Vijayapura,Gang_35
C0174,Devraj Pai,37,Maharashtra,Mysuru,Mysuru,None
C0175,Gautham Rai,55,Andhra Pradesh,Dharwad,Dharwad,Gang_43
C0176,Jagadish Adiga,31,Karnataka,Koppal,Koppal,None
C0177,Tarun Shekar,25,Karnataka,Bengaluru Urban,Bengaluru Urban,Gang_22
C0178,Jagadish Udupa,58,Karnataka,Kodagu,Kodagu,None
C0179,Ranjith Pinto,51,Karnataka,Vijayapura,Vijayapura,None
C0180,Nagaraj Hegde,41,Karnataka,Bengaluru Rural,Bengaluru Rural,None
C0181,Rohit Kunder,25,Karnataka,Koppal,Koppal,None
C0182,Vinod Naik,30,Karnataka,Hassan,Hassan,None
C0183,Ramesh Nayak,22,Karnataka,Shivamogga,Shivamogga,None
C0184,Sharath Karkera,48,Karnataka,Kodagu,Kodagu,None
C0185,Sunil Bhat,29,Karnataka,Vijayapura,Vijayapura,None
C0186,Darshan Kudva,36,Karnataka,Raichur,Raichur,Gang_14
C0187,Sunil Noronha,25,Karnataka,Shivamogga,Shivamogga,None
C0188,Ganesh Mallya,49,Telangana,Mysuru,Mysuru,None
C0189,Kiran Naik,33,Karnataka,Dharwad,Dharwad,None
C0190,Sachin Bairy,35,Karnataka,Bengaluru Rural,Bengaluru Rural,None
C0191,Rajesh Karkera,58,Karnataka,Hassan,Hassan,Gang_48
C0192,Abhishek Pandit,49,Karnataka,Bengaluru Rural,Bengaluru Rural,Gang_4
C0193,Amith Udupa,22,Karnataka,Vijayapura,Vijayapura,Gang_46
C0194,Aditya Nayak,48,Karnataka,Shivamogga,Shivamogga,None
C0195,Pavan Pujari,58,Karnataka,Vijayapura,Vijayapura,None
C0196,Kishore Ramesh,30,Tamil Nadu,Belagavi,Belagavi,None
C0197,Darshan Bairy,22,Telangana,Ballari,Ballari,None
C0198,Srinivas Shanbhag,54,Tamil Nadu,Bengaluru Urban,Bengaluru Urban,None
C0199,Umesh Lobo,28,Karnataka,Bengaluru Rural,Bengaluru Rural,Gang_16
C0200,Aravind Joshi,51,Karnataka,Dharwad,Dharwad,Gang_26
C0201,Sachin Bollineni,57,Karnataka,Koppal,Koppal,None
C0202,Santosh Hegde,41,Karnataka,Ballari,Ballari,Gang_22
C0203,Lohith Fernandes,24,Karnataka,Tumakuru,Tumakuru,None
C0204,Anoop Desai,55,Karnataka,Kodagu,Kodagu,None
C0205,Lokesh Nayak,36,Tamil Nadu,Bengaluru Urban,Bengaluru Urban,None
C0206,Rajesh Noronha,25,Karnataka,Bengaluru Rural,Bengaluru Rural,None
C0207,Akhil Noronha,53,Karnataka,Dharwad,Dharwad,None
C0208,Akhil Lobo,27,Karnataka,Shivamogga,Shivamogga,Gang_4
C0209,Sandeep Pai,20,Karnataka,Vijayapura,Vijayapura,Gang_43
C0210,Vijay D'Souza,45,Karnataka,Bidar,Bidar,Gang_23
C0211,Karthik Adiga,54,Karnataka,Kodagu,Kodagu,None
C0212,Ravi Adiga,49,Karnataka,Tumakuru,Tumakuru,None
C0213,Manjunath Desai,41,Tamil Nadu,Belagavi,Belagavi,None
C0214,Mahesh Rao,31,Karnataka,Raichur,Raichur,Gang_12
C0215,Arun Salian,46,Karnataka,Bengaluru Rural,Bengaluru Rural,Gang_19
C0216,Girish Verma,56,Karnataka,Koppal,Koppal,None
C0217,Amith Shetty,44,Karnataka,Bengaluru Rural,Bengaluru Rural,None
C0218,Varun Karkera,46,Karnataka,Bengaluru Rural,Bengaluru Rural,None
C0219,Mukesh Rao,48,Telangana,Kalaburagi,Kalaburagi,None
C0220,Venkatesh Karkera,41,Karnataka,Raichur,Raichur,None
C0221,Gopal Sharma,42,Karnataka,Raichur,Raichur,None
C0222,Jagannath Salian,55,Telangana,Bidar,Bidar,None
C0223,Anand Rai,38,Karnataka,Belagavi,Belagavi,None
C0224,Vinod Acharya,24,Karnataka,Mysuru,Mysuru,Gang_32
C0225,Kishore Salian,21,Karnataka,Hassan,Hassan,None
C0226,Lohith Nayak,34,Karnataka,Tumakuru,Tumakuru,Gang_26
C0227,Girish Rao,35,Karnataka,Shivamogga,Shivamogga,None
C0228,Dinesh Devadiga,34,Karnataka,Shivamogga,Shivamogga,None
C0229,Dinesh Rao,58,Karnataka,Bidar,Bidar,Gang_9
C0230,Gautham Adiga,51,Karnataka,Kalaburagi,Kalaburagi,Gang_2
C0231,Jagannath Poojary,54,Karnataka,Tumakuru,Tumakuru,None
C0232,Raghav Poojary,51,Karnataka,Bengaluru Rural,Bengaluru Rural,Gang_12
C0233,Deepak Sharma,27,Karnataka,Koppal,Koppal,None
C0234,Shashank Gowda,53,Tamil Nadu,Kodagu,Kodagu,None
C0235,Deepak Suvarna,47,Karnataka,Mysuru,Mysuru,None
C0236,Jagadish Suvarna,48,Karnataka,Vijayapura,Vijayapura,None
C0237,Ramesh Pai,29,Telangana,Raichur,Raichur,Gang_14
C0238,Ravi Noronha,30,Karnataka,Koppal,Koppal,Gang_10
C0239,Chandan Poojary,40,Karnataka,Shivamogga,Shivamogga,None
C0240,Umesh D'Souza,37,Karnataka,Koppal,Koppal,Gang_41
C0241,Shashank Kudva,56,Karnataka,Vijayapura,Vijayapura,Gang_13
C0242,Harish Kulkarni,28,Karnataka,Kalaburagi,Kalaburagi,None
C0243,Manoj Kumar,25,Karnataka,Kalaburagi,Kalaburagi,None
C0244,Karthik Karkera,49,Karnataka,Bengaluru Rural,Bengaluru Rural,None
C0245,Suresh Fernandes,46,Andhra Pradesh,Bengaluru Urban,Bengaluru Urban,None
C0246,Amith Alva,20,Karnataka,Kalaburagi,Kalaburagi,Gang_11
C0247,Hemant Sharma,57,Karnataka,Belagavi,Belagavi,Gang_19
C0248,Raghav Patil,37,Karnataka,Hassan,Hassan,None
C0249,Varun Pandit,32,Karnataka,Raichur,Raichur,None
C0250,Vijay Bangera,37,Karnataka,Shivamogga,Shivamogga,None
C0251,Chethan Pai,45,Karnataka,Bengaluru Rural,Bengaluru Rural,None
C0252,Venkatesh Mallya,30,Karnataka,Kodagu,Kodagu,Gang_32
C0253,Suresh D'Souza,41,Karnataka,Raichur,Raichur,None
C0254,Akhil Pujari,29,Karnataka,Shivamogga,Shivamogga,None
C0255,Mithun Adiga,54,Karnataka,Dharwad,Dharwad,None
C0256,Kishore Pai,49,Karnataka,Ballari,Ballari,None
C0257,Lokesh Udupa,23,Karnataka,Hassan,Hassan,None
C0258,Vikas Patil,39,Karnataka,Kalaburagi,Kalaburagi,None
C0259,Vijay Hegde,50,Karnataka,Shivamogga,Shivamogga,None
C0260,Amith Patil,37,Karnataka,Dharwad,Dharwad,Gang_30
C0261,Bhaskar Mendonca,30,Karnataka,Mysuru,Mysuru,None
C0262,Umesh Mallya,48,Karnataka,Raichur,Raichur,Gang_9
C0263,Umesh Bangera,29,Karnataka,Kodagu,Kodagu,Gang_3
C0264,Nithin D'Souza,38,Karnataka,Tumakuru,Tumakuru,None
C0265,Sunil Patil,44,Karnataka,Kodagu,Kodagu,None
C0266,Mukesh Gowda,33,Karnataka,Raichur,Raichur,None
C0267,Darshan Karkera,53,Karnataka,Vijayapura,Vijayapura,None
C0268,Vinod Pandit,51,Karnataka,Bidar,Bidar,None
C0269,Jagannath Suvarna,39,Karnataka,Ballari,Ballari,Gang_33
C0270,Ravi D'Souza,50,Karnataka,Mysuru,Mysuru,None
C0271,Lokesh Naik,54,Karnataka,Dharwad,Dharwad,Gang_10
C0272,Girish Gowda,44,Karnataka,Raichur,Raichur,Gang_22
C0273,Rajesh Reddy,42,Karnataka,Belagavi,Belagavi,None
C0274,Varun Rai,24,Karnataka,Koppal,Koppal,None
C0275,Bhaskar Hegde,35,Karnataka,Dharwad,Dharwad,None
C0276,Suresh Kudva,26,Karnataka,Belagavi,Belagavi,None
C0277,Nikhil Shet,60,Telangana,Dharwad,Dharwad,None
C0278,Devraj Udupa,44,Karnataka,Dharwad,Dharwad,None
C0279,Lohith Kamath,20,Karnataka,Dharwad,Dharwad,Gang_30
C0280,Mithun Hegde,48,Karnataka,Bidar,Bidar,None
C0281,Shankar Kamath,47,Karnataka,Tumakuru,Tumakuru,None
C0282,Nagaraj D'Souza,57,Karnataka,Dharwad,Dharwad,None
C0283,Manjunath Karkera,44,Telangana,Mysuru,Mysuru,None
C0284,Shivakumar Mallya,25,Karnataka,Kodagu,Kodagu,None
C0285,Deepak Kotian,44,Kerala,Kalaburagi,Kalaburagi,Gang_30
C0286,Manjunath Verma,22,Karnataka,Belagavi,Belagavi,None
C0287,Krishna Poojary,48,Karnataka,Kalaburagi,Kalaburagi,Gang_20
C0288,Vinod Udupa,24,Karnataka,Bengaluru Rural,Bengaluru Rural,None
C0289,Shankar Noronha,31,Karnataka,Dharwad,Dharwad,None
C0290,Akash Murthy,60,Karnataka,Shivamogga,Shivamogga,None
C0291,Aditya Salian,29,Karnataka,Vijayapura,Vijayapura,None
C0292,Yogesh Alva,49,Karnataka,Hassan,Hassan,Gang_40
C0293,Krishna Rao,42,Karnataka,Belagavi,Belagavi,None
C0294,Ravi Kumar,60,Karnataka,Kodagu,Kodagu,Gang_22
C0295,Pavan Bhat,60,Karnataka,Dharwad,Dharwad,None
C0296,Mahesh Pai,35,Karnataka,Vijayapura,Vijayapura,None
C0297,Jagadish Patil,54,Tamil Nadu,Vijayapura,Vijayapura,None
C0298,Sharath Pandit,47,Andhra Pradesh,Bengaluru Rural,Bengaluru Rural,None
C0299,Srinivas Kumar,27,Karnataka,Hassan,Hassan,None
C0300,Vijay Pai,37,Karnataka,Vijayapura,Vijayapura,None
C0301,Akhil Verma,30,Karnataka,Tumakuru,Tumakuru,None
C0302,Karthik Devadiga,48,Karnataka,Belagavi,Belagavi,None
C0303,Darshan Gowda,39,Karnataka,Raichur,Raichur,None
C0304,Madan Shekar,55,Karnataka,Mysuru,Mysuru,None
C0305,Jagannath Mallya,34,Karnataka,Vijayapura,Vijayapura,None
C0306,Harsha Karkera,23,Telangana,Tumakuru,Tumakuru,Gang_2
C0307,Shivakumar Karkera,38,Karnataka,Shivamogga,Shivamogga,None
C0308,Aravind Udupa,45,Kerala,Kalaburagi,Kalaburagi,None
C0309,Anand Alva,28,Karnataka,Tumakuru,Tumakuru,Gang_33
C0310,Pranav Bhat,52,Karnataka,Hassan,Hassan,Gang_28
C0311,Mithun Reddy,45,Karnataka,Tumakuru,Tumakuru,Gang_18
C0312,Bhaskar Lobo,44,Karnataka,Ballari,Ballari,None
C0313,Nagaraj Mendonca,23,Karnataka,Koppal,Koppal,Gang_21
C0314,Arun Mendonca,39,Telangana,Belagavi,Belagavi,None
C0315,Ranjith Gowda,27,Karnataka,Dharwad,Dharwad,None
C0316,Gopal Kamath,32,Tamil Nadu,Tumakuru,Tumakuru,None
C0317,Shashank Mendonca,24,Karnataka,Bengaluru Rural,Bengaluru Rural,None
C0318,Hemant Fernandes,32,Karnataka,Hassan,Hassan,Gang_38
C0319,Ganesh Reddy,56,Karnataka,Kalaburagi,Kalaburagi,None
C0320,Nandakumar Gowda,59,Karnataka,Vijayapura,Vijayapura,Gang_50
C0321,Manoj Lobo,40,Karnataka,Raichur,Raichur,None
C0322,Raghav Bangera,53,Karnataka,Raichur,Raichur,None
C0323,Aravind Desai,38,Karnataka,Raichur,Raichur,None
C0324,Mithun Mendonca,26,Karnataka,Kodagu,Kodagu,None
C0325,Rohit Gowda,38,Karnataka,Raichur,Raichur,Gang_21
C0326,Naveen Karkera,28,Karnataka,Raichur,Raichur,None
C0327,Gopal Shettigar,49,Karnataka,Kalaburagi,Kalaburagi,None
C0328,Ramesh Patil,24,Karnataka,Shivamogga,Shivamogga,Gang_36
C0329,Akash Kunder,53,Karnataka,Hassan,Hassan,None
C0330,Kishore Shet,60,Karnataka,Tumakuru,Tumakuru,Gang_3
C0331,Nagaraj Salian,57,Karnataka,Kodagu,Kodagu,None
C0332,Vinod Gowda,34,Andhra Pradesh,Vijayapura,Vijayapura,Gang_1
C0333,Vinod Shettigar,28,Karnataka,Kalaburagi,Kalaburagi,None
C0334,Madan Moily,52,Telangana,Shivamogga,Shivamogga,None
C0335,Sandeep Salian,39,Karnataka,Koppal,Koppal,Gang_26
C0336,Jagannath Mendonca,20,Karnataka,Kodagu,Kodagu,Gang_48
C0337,Anil Udupa,57,Karnataka,Koppal,Koppal,None
C0338,Akhil Patil,53,Karnataka,Kodagu,Kodagu,None
C0339,Venkatesh Kudva,25,Telangana,Bengaluru Urban,Bengaluru Urban,None
C0340,Sandeep Noronha,29,Karnataka,Kalaburagi,Kalaburagi,None
C0341,Krishna Kulkarni,45,Karnataka,Vijayapura,Vijayapura,None
C0342,Deepak Patil,59,Karnataka,Bengaluru Urban,Bengaluru Urban,None
C0343,Sachin Joshi,57,Karnataka,Koppal,Koppal,None
C0344,Sunil Alva,39,Karnataka,Shivamogga,Shivamogga,None
C0345,Mohan Moily,50,Karnataka,Raichur,Raichur,Gang_15
C0346,Bharath Noronha,50,Karnataka,Bengaluru Rural,Bengaluru Rural,Gang_18
C0347,Rajesh Moily,48,Maharashtra,Bengaluru Rural,Bengaluru Rural,None
C0348,Gautham Bairy,21,Karnataka,Bengaluru Rural,Bengaluru Rural,None
C0349,Shankar Udupa,45,Karnataka,Hassan,Hassan,None
C0350,Gautham Moily,60,Telangana,Dharwad,Dharwad,None
C0351,Umesh Rai,42,Karnataka,Dharwad,Dharwad,Gang_38
C0352,Yogesh D'Souza,38,Karnataka,Tumakuru,Tumakuru,None
C0353,Sharath Pujari,52,Karnataka,Bengaluru Rural,Bengaluru Rural,None
C0354,Jagannath Reddy,22,Karnataka,Koppal,Koppal,Gang_41
C0355,Krishna D'Souza,36,Karnataka,Kodagu,Kodagu,Gang_43
C0356,Suresh Suvarna,48,Karnataka,Koppal,Koppal,Gang_29
C0357,Naveen Mendonca,43,Karnataka,Kalaburagi,Kalaburagi,None
C0358,Kishore Udupa,21,Karnataka,Ballari,Ballari,None
C0359,Tejas Bairy,58,Karnataka,Koppal,Koppal,Gang_33
C0360,Harsha Hegde,42,Karnataka,Bidar,Bidar,None
C0361,Sunil Hegde,29,Karnataka,Raichur,Raichur,None
C0362,Venkatesh Adiga,42,Karnataka,Koppal,Koppal,Gang_42
C0363,Rakesh Pai,35,Telangana,Hassan,Hassan,Gang_32
C0364,Shankar Pai,60,Karnataka,Dharwad,Dharwad,None
C0365,Jagadish Shanbhag,42,Karnataka,Belagavi,Belagavi,Gang_11
C0366,Girish Lobo,48,Karnataka,Koppal,Koppal,None
C0367,Nikhil Shekar,44,Karnataka,Bengaluru Urban,Bengaluru Urban,None
C0368,Vikas Shet,28,Tamil Nadu,Kalaburagi,Kalaburagi,None
C0369,Arun Reddy,39,Karnataka,Vijayapura,Vijayapura,None
C0370,Shashank Suvarna,58,Karnataka,Ballari,Ballari,Gang_39
C0371,Mukesh Bollineni,48,Karnataka,Vijayapura,Vijayapura,None
C0372,Tarun Rao,31,Karnataka,Tumakuru,Tumakuru,None
