crime_id,criminal_id,criminal_name,gang_id,district,city,police_station,crime_type,latitude,longitude,date,severity,status
CR000042,C0003,Girish Pandit,,Raichur,Raichur City,West PS,Burglary,16.219064,77.380998,2023-01-09,high,investigating
CR000043,C0003,Girish Pandit,,Davangere,Davangere City,Davangere PS,Vehicle Theft,14.761096,75.751608,2024-02-01,low,investigating
CR000044,C0003,Girish Pandit,,Chitradurga,Chitradurga,Chitradurga Traffic PS,Mobile Theft,14.192268,76.644303,2023-05-27,low,closed
CR000045,C0004,Yogesh Devadiga,,Bengaluru Urban,Whitefield,Kadugodi PS,Theft,13.168751,77.322103,2023-05-04,low,open
CR000046,C0004,Yogesh Devadiga,,Davangere,Honnali,Honnali Rural PS,Robbery,14.596658,76.090952,2024-07-01,high,open
CR000047,C0004,Yogesh Devadiga,,Kalaburagi,Jewargi,Jewargi PS,Fraud,17.236323,76.994243,2024-10-12,medium,investigating
CR000048,C0004,Yogesh Devadiga,,Ramanagara,Magadi,Magadi Rural PS,Assault,12.606226,77.202602,2023-12-04,low,closed
CR000049,C0004,Yogesh Devadiga,,Yadgir,Gurmitkal,Gurmitkal PS,Domestic Violence,16.599556,77.291077,2024-09-26,high,investigating
CR000050,C0005,Jagadish Shetty,,Davangere,Honnali,Nyamathi PS,Land Dispute,14.638876,76.105982,2024-01-05,low,investigating
CR000051,C0005,Jagadish Shetty,,Mangaluru,Mangaluru,Pandeshwar PS,Land Dispute,12.857245,74.823956,2023-11-04,medium,open
CR000052,C0005,Jagadish Shetty,,Udupi,Karkala,Ajekar PS,Burglary,13.295805,74.467689,2023-05-03,medium,open
CR000053,C0005,Jagadish Shetty,,Vijayapura,Indi,Indi Rural PS,Land Dispute,16.858987,75.623303,2023-12-24,low,open
CR000054,C0005,Jagadish Shetty,,Chamarajanagar,Gundlupet,Gundlupet PS,Murder,11.869559,76.690234,2024-07-24,medium,closed
CR000055,C0005,Jagadish Shetty,,Bengaluru Urban,Koramangala,Koramangala PS,Land Dispute,13.112507,77.768201,2024-11-25,medium,open
CR000056,C0005,Jagadish Shetty,,Chitradurga,Chitradurga,Chitradurga Traffic PS,Fraud,14.074709,76.204151,2024-01-02,high,investigating
CR000057,C0005,Jagadish Shetty,,Mandya,Srirangapatna,Srirangapatna Town PS,Burglary,12.634749,77.120162,2024-12-02,low,open
CR000058,C0005,Jagadish Shetty,,Chamarajanagar,Gundlupet,Gundlupet PS,Murder,11.981668,77.146714,2024-12-08,high,open
CR000059,C0005,Jagadish Shetty,,Dakshina Kannada,Puttur,Puttur Traffic PS,Fraud,12.707302,75.073765,2024-11-06,low,closed
CR000060,C0005,Jagadish Shetty,,Davangere,Davangere City,Davangere PS,Fraud,14.239574,75.812552,2023-05-27,medium,closed
CR000061,C0005,Jagadish Shetty,,Ramanagara,Ramanagara,Ramanagara Traffic PS,Mobile Theft,12.587323,77.330992,2023-11-04,low,open
CR000062,C0005,Jagadish Shetty,,Tumakuru,Tumakuru City,Tumakuru City Traffic PS,Murder,13.499774,76.905705,2023-12-17,low,investigating
CR000063,C0005,Jagadish Shetty,,Hubballi-Dharwad,Navanagar,Navanagar Town PS,Vehicle Theft,15.619272,75.347396,2023-01-07,high,closed
CR000064,C0005,Jagadish Shetty,,Bengaluru Urban,Koramangala,HSR Layout PS,Chain Snatching,13.262804,77.835074,2024-02-18,low,investigating
CR000065,C0005,Jagadish Shetty,,Mangaluru,Mangaluru,Pandeshwar PS,Drug Offense,12.79659,74.589662,2023-07-16,high,open
CR000066,C0005,Jagadish Shetty,,Ramanagara,Kanakapura,Kanakapura Rural PS,Vehicle Theft,12.543908,77.313957,2023-11-13,medium,investigating
CR000067,C0005,Jagadish Shetty,,Vijayapura,Vijayapura City,Vijayapura City Traffic PS,Vehicle Theft,16.552803,75.491062,2024-10-02,low,closed
CR000068,C0005,Jagadish Shetty,,Ramanagara,Ramanagara,Ramanagara PS,Domestic Violence,12.441743,77.531677,2023-01-23,high,investigating
CR000069,C0005,Jagadish Shetty,,Davangere,Harihar,Harihar PS,Murder,14.716228,75.764963,2024-12-26,medium,closed
CR000070,C0006,Ravi Shettigar,Gang_38,Ballari,Hospet,Hospet Traffic PS,Mobile Theft,14.839705,76.936709,2023-05-08,medium,closed
CR000071,C0006,Ravi Shettigar,Gang_38,Uttara Kannada,Karwar,Karwar Traffic PS,Drug Offense,14.554976,74.619029,2023-12-15,low,closed
CR000072,C0006,Ravi Shettigar,Gang_38,Belagavi,Gokak,Gokak Rural PS,Murder,15.807238,74.696012,2023-02-15,medium,closed
CR000073,C0006,Ravi Shettigar,Gang_38,Mangaluru,Ullal,Ullal PS,Vehicle Theft,13.029476,74.581616,2024-09-17,low,investigating
CR000074,C0006,Ravi Shettigar,Gang_38,Koppal,Gangavathi,Gangavathi Rural PS,Cybercrime,15.518346,76.071638,2023-10-15,medium,investigating
CR000075,C0007,Manoj Poojary,,Belagavi,Gokak,Gokak Rural PS,Cybercrime,15.624828,74.63452,2024-09-16,medium,investigating
CR000076,C0007,Manoj Poojary,,Kalaburagi,Sedam,Sedam Rural PS,Fraud,17.190783,76.918368,2024-07-05,high,open
CR000077,C0007,Manoj Poojary,,Davangere,Harihar,Harihar PS,Burglary,14.642576,75.765185,2023-03-13,low,closed
CR000078,C0007,Manoj Poojary,,Ballari,Hospet,Hospet Town PS,Kidnapping,15.200539,76.837129,2023-02-27,low,closed
CR000079,C0007,Manoj Poojary,,Dakshina Kannada,Puttur,Puttur PS,Cybercrime,12.872375,75.056103,2024-03-06,medium,closed
CR000080,C0007,Manoj Poojary,,Dakshina Kannada,Bantwal,Bantwal Town PS,Fraud,12.575431,75.435105,2023-06-13,low,closed
CR000081,C0008,Gautham Devadiga,,Davangere,Honnali,Nyamathi PS,Cybercrime,14.226246,75.705418,2024-05-01,medium,investigating
CR000082,C0008,Gautham Devadiga,,Belagavi,Belagavi City,Tilakwadi PS,Kidnapping,15.697276,74.704504,2024-04-19,low,investigating
CR000083,C0008,Gautham Devadiga,,Yadgir,Shahapur,Shahapur Rural PS,Mobile Theft,16.846635,77.319984,2024-04-03,medium,closed
CR000084,C0008,Gautham Devadiga,,Chitradurga,Hiriyur,Hiriyur Town PS,Vehicle Theft,14.255089,76.24557,2024-09-14,medium,closed
CR000085,C0008,Gautham Devadiga,,Mangaluru,Ullal,Ullal PS,Assault,12.938107,74.72788,2024-04-24,high,closed
CR000086,C0008,Gautham Devadiga,,Bidar,Bhalki,Bhalki Town PS,Fraud,17.78351,77.267609,2023-01-09,low,investigating
CR000087,C0008,Gautham Devadiga,,Udupi,Karkala,Hebri PS,Burglary,13.146525,74.451708,2023-11-25,medium,open
CR000088,C0008,Gautham Devadiga,,Bengaluru Rural,Nelamangala,Nelamangala Traffic PS,Chain Snatching,13.24958,77.515197,2023-03-21,medium,closed
CR000089,C0008,Gautham Devadiga,,Raichur,Sindhanur,Sindhanur Rural PS,Chain Snatching,16.229245,77.126627,2023-12-25,medium,investigating
CR000090,C0008,Gautham Devadiga,,Chikkaballapura,Sidlaghatta,Sidlaghatta PS,Vehicle Theft,13.505135,77.928331,2023-03-07,low,open
CR000091,C0008,Gautham Devadiga,,Kalaburagi,Kalaburagi City,University PS,Murder,17.251835,77.025104,2023-07-22,medium,investigating
CR000092,C0008,Gautham Devadiga,,Mysuru,Mysuru City,Nazarbad PS,Cybercrime,12.459292,76.52094,2024-07-21,low,open
CR000093,C0008,Gautham Devadiga,,Chitradurga,Chitradurga,Chitradurga PS,Kidnapping,14.031633,76.642305,2024-10-06,high,closed
CR000094,C0008,Gautham Devadiga,,Belagavi,Chikodi,Chikodi PS,Domestic Violence,15.956103,74.713675,2024-11-19,low,investigating
CR000095,C0008,Gautham Devadiga,,Chamarajanagar,Kollegal,Kollegal PS,Assault,11.650578,76.963835,2023-12-04,medium,open
CR000096,C0009,Amith Rai,,Udupi,Udupi,Manipal PS,Cybercrime,13.343301,74.83923,2023-03-15,low,investigating
CR000097,C0009,Amith Rai,,Mysuru,Mysuru City,Lakshmipuram PS,Fraud,12.234678,76.548262,2024-11-04,low,open
CR000098,C0009,Amith Rai,,Uttara Kannada,Bhatkal,Bhatkal Town PS,Fraud,14.597592,74.799146,2024-02-25,high,closed
CR000099,C0009,Amith Rai,,Belagavi,Belagavi City,Market PS,Theft,15.637792,74.595346,2024-10-08,medium,open
CR000100,C0009,Amith Rai,,Chamarajanagar,Gundlupet,Gundlupet PS,Land Dispute,11.933014,76.901119,2024-03-14,high,closed
CR000101,C0009,Amith Rai,,Bengaluru Rural,Nelamangala,Soladevanahalli PS,Land Dispute,13.390109,77.315187,2023-02-20,medium,investigating
CR000102,C0009,Amith Rai,,Chamarajanagar,Gundlupet,Gundlupet Rural PS,Cybercrime,11.765073,76.666673,2024-10-31,high,closed
CR000103,C0009,Amith Rai,,Raichur,Manvi,Manvi Town PS,Kidnapping,16.222735,77.514985,2024-03-31,low,investigating
CR000104,C0009,Amith Rai,,Uttara Kannada,Bhatkal,Bhatkal Town PS,Mobile Theft,14.707672,74.701197,2024-12-12,low,closed
CR000105,C0009,Amith Rai,,Kalaburagi,Kalaburagi City,Station Bazaar PS,Robbery,17.39285,76.739652,2023-07-28,medium,investigating
CR000106,C0010,Raghav Shetty,,Gadag,Ron,Ron Town PS,Land Dispute,15.597995,75.617449,2024-04-10,low,closed
CR000107,C0010,Raghav Shetty,,Haveri,Ranebennur,Ranebennur Rural PS,Fraud,15.020135,75.489228,2023-12-10,medium,open
CR000108,C0010,Raghav Shetty,,Mangaluru,Ullal,Kotekar PS,Kidnapping,12.882857,75.133197,2023-06-28,low,closed
CR000109,C0010,Raghav Shetty,,Chikkaballapura,Bagepalli,Bagepalli PS,Mobile Theft,13.706041,77.797448,2024-10-23,medium,investigating
CR000110,C0010,Raghav Shetty,,Hubballi-Dharwad,Hubballi,Vidyanagar PS,Assault,15.38729,74.97877,2024-09-09,high,investigating
CR000111,C0010,Raghav Shetty,,Kalaburagi,Sedam,Sedam Rural PS,Cybercrime,17.076361,77.116916,2024-09-03,medium,open
CR000112,C0010,Raghav Shetty,,Haveri,Ranebennur,Ranebennur Rural PS,Land Dispute,14.498998,75.563194,2024-08-18,low,investigating
CR000113,C0010,Raghav Shetty,,Belagavi,Belagavi City,Tilakwadi PS,Cybercrime,15.770548,74.407702,2023-03-17,low,closed
CR000114,C0010,Raghav Shetty,,Uttara Kannada,Karwar,Bazar PS,Robbery,14.669384,74.432274,2023-10-22,low,closed
CR000115,C0010,Raghav Shetty,,Mysuru,Mysuru City,Nazarbad PS,Robbery,12.306441,76.420649,2024-12-21,low,investigating
CR000116,C0010,Raghav Shetty,,Bidar,Bhalki,Bhalki Town PS,Chain Snatching,17.704862,77.556365,2023-09-09,medium,open
CR000117,C0010,Raghav Shetty,,Udupi,Kundapura,Kundapura PS,Fraud,13.187104,75.02391,2023-05-19,high,closed
CR000118,C0010,Raghav Shetty,,Hubballi-Dharwad,Dharwad,Sub Urban PS,Mobile Theft,15.235608,75.411037,2023-11-23,medium,investigating
CR000119,C0011,Shankar Shet,,Chikkamagaluru,Kadur,Kadur Rural PS,Vehicle Theft,13.609944,75.983676,2024-01-06,high,open
CR000120,C0011,Shankar Shet,,Ballari,Ballari City,Ballari PS,Drug Offense,14.909834,76.8433,2024-07-01,low,investigating
CR000121,C0011,Shankar Shet,,Chikkaballapura,Sidlaghatta,Sidlaghatta Town PS,Mobile Theft,13.61126,78.02461,2023-08-15,high,closed
CR000122,C0011,Shankar Shet,,Raichur,Raichur City,West PS,Burglary,16.05307,77.403821,2024-10-15,medium,investigating
CR000123,C0011,Shankar Shet,,Mandya,Mandya,Mandya Traffic PS,Vehicle Theft,12.511373,76.677128,2024-03-28,low,open
CR000124,C0011,Shankar Shet,,Yadgir,Gurmitkal,Gurmitkal PS,Kidnapping,16.738857,77.208419,2024-05-25,low,closed
CR000125,C0011,Shankar Shet,,Davangere,Harihar,Harihar Town PS,Theft,14.283377,75.882094,2023-11-19,medium,closed
CR000126,C0011,Shankar Shet,,Koppal,Kushtagi,Kushtagi Rural PS,Theft,15.278332,76.290616,2024-12-10,medium,closed
CR000127,C0011,Shankar Shet,,Kodagu,Madikeri,Madikeri Rural PS,Theft,12.190712,75.939582,2024-07-31,low,closed
CR000128,C0011,Shankar Shet,,Udupi,Kundapura,Gangolli PS,Cybercrime,13.495068,74.95408,2024-07-26,low,closed
CR000129,C0011,Shankar Shet,,Koppal,Koppal City,Koppal City Town PS,Land Dispute,15.13018,76.313468,2024-06-26,low,investigating
CR000130,C0011,Shankar Shet,,Ramanagara,Kanakapura,Kanakapura Town PS,Murder,12.734345,77.338712,2023-11-14,low,investigating
CR000131,C0012,Mukesh Shanbhag,,Gadag,Ron,Ron PS,Theft,15.550949,75.427446,2024-11-02,medium,closed
CR000132,C0012,Mukesh Shanbhag,,Uttara Kannada,Sirsi,Sirsi Rural PS,Mobile Theft,14.62046,74.586848,2023-09-13,low,open
CR000133,C0012,Mukesh Shanbhag,,Hubballi-Dharwad,Navanagar,Navanagar Rural PS,Vehicle Theft,15.352286,75.320167,2024-12-25,medium,investigating
CR000134,C0012,Mukesh Shanbhag,,Kolar,Malur,Malur Town PS,Vehicle Theft,13.370443,78.020201,2023-03-19,low,investigating
CR000135,C0012,Mukesh Shanbhag,,Haveri,Savanur,Savanur PS,Cybercrime,14.722819,75.331128,2023-11-21,medium,closed
CR000136,C0012,Mukesh Shanbhag,,Belagavi,Gokak,Gokak Town PS,Cybercrime,15.895186,74.795675,2023-07-19,low,closed
CR000137,C0012,Mukesh Shanbhag,,Kalaburagi,Jewargi,Jewargi Rural PS,Assault,17.144835,77.022517,2024-07-16,medium,open
CR000138,C0012,Mukesh Shanbhag,,Bengaluru Rural,Devanahalli,Vijayapura PS,Cybercrime,13.04814,77.699594,2023-02-03,low,open
CR000139,C0012,Mukesh Shanbhag,,Yadgir,Yadgir City,Yadgir PS,Murder,16.963532,77.141404,2024-01-26,low,investigating
CR000140,C0013,Mahesh Reddy,Gang_26,Raichur,Sindhanur,Sindhanur PS,Drug Offense,16.473098,77.500505,2024-05-30,low,closed
CR000141,C0013,Mahesh Reddy,Gang_26,Kodagu,Virajpet,Virajpet Town PS,Drug Offense,12.195787,76.096368,2023-09-25,medium,open
CR000142,C0013,Mahesh Reddy,Gang_26,Mandya,Srirangapatna,Srirangapatna Town PS,Land Dispute,12.760773,76.983693,2024-06-25,low,closed
CR000143,C0013,Mahesh Reddy,Gang_26,Chamarajanagar,Chamarajanagar,Chamarajanagar PS,Theft,11.686916,76.71094,2023-03-04,low,closed
CR000144,C0013,Mahesh Reddy,Gang_26,Mysuru,Hunsur,Hunsur Rural PS,Chain Snatching,12.170136,76.427474,2023-04-27,medium,open
CR000145,C0014,Ravi Pujari,Gang_12,Kodagu,Madikeri,Madikeri Traffic PS,Burglary,12.149816,75.799291,2023-01-05,low,investigating
CR000146,C0014,Ravi Pujari,Gang_12,Hassan,Sakleshpur,Sakleshpur Rural PS,Vehicle Theft,13.197737,76.229155,2024-06-18,medium,closed
CR000147,C0014,Ravi Pujari,Gang_12,Kolar,Kolar,Kolar Town PS,Vehicle Theft,13.177718,78.209678,2024-01-28,low,open
CR000148,C0014,Ravi Pujari,Gang_12,Bidar,Bhalki,Bhalki Town PS,Fraud,17.771549,77.270516,2024-10-04,medium,investigating
CR000149,C0014,Ravi Pujari,Gang_12,Ramanagara,Ramanagara,Ramanagara PS,Assault,12.571866,77.342806,2024-02-27,low,open
CR000150,C0014,Ravi Pujari,Gang_12,Bidar,Bhalki,Bhalki PS,Kidnapping,17.986097,77.590014,2024-07-31,low,investigating
CR000151,C0014,Ravi Pujari,Gang_12,Raichur,Raichur City,Raichur City Traffic PS,Domestic Violence,16.009494,77.049719,2024-11-29,low,investigating
CR000152,C0014,Ravi Pujari,Gang_12,Chamarajanagar,Kollegal,Kollegal Rural PS,Cybercrime,11.971366,76.782137,2024-04-02,high,closed
CR000153,C0014,Ravi Pujari,Gang_12,Bidar,Bhalki,Bhalki Rural PS,Chain Snatching,17.69031,77.561001,2024-05-28,low,open
CR000154,C0014,Ravi Pujari,Gang_12,Chikkaballapura,Bagepalli,Bagepalli PS,Domestic Violence,13.406649,77.621182,2024-07-30,medium,open
CR000155,C0014,Ravi Pujari,Gang_12,Chitradurga,Chitradurga,Chitradurga Traffic PS,Assault,14.135371,76.114302,2024-10-23,low,open
CR000156,C0014,Ravi Pujari,Gang_12,Kodagu,Virajpet,Virajpet Rural PS,Murder,12.159537,75.821448,2023-02-01,low,investigating
CR000157,C0014,Ravi Pujari,Gang_12,Ballari,Hospet,Hospet Rural PS,Assault,15.3155,76.630334,2024-10-02,low,investigating
CR000158,C0014,Ravi Pujari,Gang_12,Gadag,Mundargi,Mundargi Rural PS,Assault,15.688262,75.680352,2023-02-26,medium,investigating
CR000159,C0014,Ravi Pujari,Gang_12,Vijayapura,Indi,Indi Town PS,Cybercrime,16.921038,75.944937,2023-01-05,low,investigating
CR000160,C0014,Ravi Pujari,Gang_12,Mandya,Maddur,Maddur PS,Burglary,12.653907,76.934721,2024-09-11,low,closed
CR000161,C0015,Jagannath Devadiga,,Haveri,Haveri,Haveri Traffic PS,Kidnapping,14.921294,75.362955,2023-03-21,medium,closed
CR000162,C0015,Jagannath Devadiga,,Dakshina Kannada,Puttur,Puttur Traffic PS,Fraud,12.575034,75.249997,2024-06-03,low,closed
CR000163,C0015,Jagannath Devadiga,,Bengaluru Rural,Nelamangala,Soladevanahalli PS,Murder,13.361533,77.156151,2024-12-18,high,investigating
CR000164,C0015,Jagannath Devadiga,,Mangaluru,Mangaluru,Mangaluru South PS,Land Dispute,12.740085,74.998196,2023-09-16,low,closed
CR000165,C0015,Jagannath Devadiga,,Hassan,Sakleshpur,Sakleshpur Town PS,Mobile Theft,13.281638,75.869704,2023-10-12,high,closed
CR000166,C0015,Jagannath Devadiga,,Raichur,Sindhanur,Sindhanur Rural PS,Fraud,16.265711,77.332022,2024-10-04,medium,investigating
CR000167,C0015,Jagannath Devadiga,,Ramanagara,Kanakapura,Kanakapura Rural PS,Land Dispute,12.780047,77.521515,2024-02-26,low,closed
CR000168,C0015,Jagannath Devadiga,,Chikkaballapura,Chikkaballapura,Chikkaballapura PS,Drug Offense,13.287962,77.707013,2024-10-24,low,open
CR000169,C0015,Jagannath Devadiga,,Mangaluru,Mangaluru,Pandeshwar PS,Vehicle Theft,13.184234,74.969191,2024-08-14,medium,investigating
CR000170,C0015,Jagannath Devadiga,,Uttara Kannada,Bhatkal,Bhatkal Town PS,Vehicle Theft,14.802451,74.788513,2023-12-26,low,open
CR000171,C0015,Jagannath Devadiga,,Uttara Kannada,Sirsi,Sirsi Rural PS,Vehicle Theft,14.696725,74.810827,2024-02-08,low,investigating
CR000172,C0015,Jagannath Devadiga,,Shivamogga,Sagara,Anandapura PS,Mobile Theft,13.649955,75.490156,2024-10-02,low,investigating
CR000173,C0015,Jagannath Devadiga,,Davangere,Honnali,Nyamathi PS,Murder,14.183327,75.92399,2023-10-09,medium,closed
CR000174,C0016,Manoj Gowda,,Mangaluru,Ullal,Kotekar PS,Vehicle Theft,12.880989,74.968261,2023-11-24,low,open
CR000175,C0016,Manoj Gowda,,Kolar,Kolar,Kolar Town PS,Land Dispute,12.894864,77.885796,2024-11-11,medium,investigating
CR000176,C0016,Manoj Gowda,,Haveri,Savanur,Savanur Rural PS,Chain Snatching,14.619975,75.600635,2023-02-21,medium,open
CR000177,C0016,Manoj Gowda,,Chamarajanagar,Kollegal,Kollegal PS,Fraud,12.072076,76.69246,2023-06-23,medium,open
CR000178,C0016,Manoj Gowda,,Bengaluru Urban,Koramangala,Koramangala PS,Robbery,13.269221,77.886066,2023-03-29,low,investigating
CR000179,C0016,Manoj Gowda,,Davangere,Davangere City,Davangere City Traffic PS,Domestic Violence,14.573706,76.008116,2024-10-04,high,closed
CR000180,C0016,Manoj Gowda,,Mangaluru,Ullal,Kotekar PS,Kidnapping,12.751791,74.804811,2023-01-21,high,closed
CR000181,C0016,Manoj Gowda,,Kolar,Malur,Malur Rural PS,Fraud,12.935435,78.194654,2024-06-27,high,closed
CR000182,C0017,Darshan Murthy,,Davangere,Honnali,Honnali Rural PS,Kidnapping,14.500654,75.826904,2023-09-24,low,investigating
CR000183,C0017,Darshan Murthy,,Chamarajanagar,Kollegal,Kollegal Town PS,Robbery,11.670838,76.909404,2023-10-29,low,investigating
CR000184,C0017,Darshan Murthy,,Chikkaballapura,Chikkaballapura,Chikkaballapura PS,Drug Offense,13.178731,77.739431,2024-09-23,low,open
CR000185,C0017,Darshan Murthy,,Bidar,Basavakalyan,Basavakalyan Rural PS,Theft,17.823396,77.385424,2024-04-21,low,open
CR000186,C0017,Darshan Murthy,,Gadag,Gadag,Gadag Town PS,Cybercrime,15.445052,75.549568,2023-01-28,low,open
CR000187,C0017,Darshan Murthy,,Chikkaballapura,Chikkaballapura,Chikkaballapura Traffic PS,Fraud,13.478891,77.527774,2024-12-31,low,investigating
CR000188,C0017,Darshan Murthy,,Udupi,Karkala,Hebri PS,Land Dispute,13.441221,74.466379,2024-03-28,medium,open
CR000189,C0017,Darshan Murthy,,Gadag,Gadag,Betageri PS,Assault,15.12332,75.355072,2024-08-21,low,closed
CR000190,C0018,Umesh Alva,,Bengaluru Urban,Yelahanka,Yelahanka New Town PS,Vehicle Theft,13.151124,77.377124,2024-10-02,low,closed
CR000191,C0018,Umesh Alva,,Mandya,Mandya,Mandya Traffic PS,Kidnapping,12.761623,76.9709,2024-12-01,high,open
CR000192,C0018,Umesh Alva,,Chitradurga,Hiriyur,Hiriyur Rural PS,Vehicle Theft,14.24256,76.312107,2023-05-19,low,open
CR000193,C0018,Umesh Alva,,Chikkaballapura,Sidlaghatta,Sidlaghatta Rural PS,Mobile Theft,13.427017,77.436098,2023-08-19,medium,closed
